workers,procs,mpitime,seqtime,speedup
2,2,0.309156,0.561546,1.8163839614951676
3,2,0.347238,0.561546,1.6171789953864497
4,2,0.260985,0.561546,2.1516408989022358
5,2,0.461658,0.561546,1.2163679606981792
6,2,0.350358,0.561546,1.6027777302073878
7,2,0.328566,0.561546,1.7090812804733293
8,2,0.267362,0.561546,2.100320913218782
2,4,0.303589,0.561546,1.8496915237376848
3,4,0.345371,0.561546,1.6259211109212992
4,4,0.26349,0.561546,2.131185244221792
5,4,0.457306,0.561546,1.227943652608975
6,4,0.350764,0.561546,1.6009225576170871
7,4,0.327181,0.561546,1.7163160452471262
8,4,0.265615,0.561546,2.1141351203810026
2,6,0.304484,0.561546,1.8442545421105871
3,6,0.351999,0.561546,1.5953056684820126
4,6,0.265173,0.561546,2.1176590376848323
5,6,0.458711,0.561546,1.224182546309114
6,6,0.351597,0.561546,1.59712966834188
7,6,0.327499,0.561546,1.7146495103801844
8,6,0.265389,0.561546,2.11593547584866
